SET IDENTITY_INSERT [dbo].[shedule] ON
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (1, N'2023-09-01 00:00:00', N'Я', 8, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (2, N'2023-09-01 00:00:00', N'Я', 8, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (3, N'2023-09-01 00:00:00', N'Я', 8, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (4, N'2023-09-01 00:00:00', N'Я', 8, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (5, N'2023-09-01 00:00:00', N'Я', 8, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (6, N'2023-09-01 00:00:00', N'Я', 8, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (7, N'2023-09-02 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (8, N'2023-09-02 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (9, N'2023-09-02 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (10, N'2023-09-02 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (11, N'2023-09-02 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (12, N'2023-09-02 00:00:00', N'В', 0, 6)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (13, N'2023-09-03 00:00:00', N'В', 0, 1)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (14, N'2023-09-03 00:00:00', N'В', 0, 2)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (15, N'2023-09-03 00:00:00', N'В', 0, 3)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (16, N'2023-09-03 00:00:00', N'В', 0, 4)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (17, N'2023-09-03 00:00:00', N'В', 0, 5)
INSERT INTO [dbo].[shedule] ([Id], [date], [status], [hours], [emploeeId]) VALUES (18, N'2023-09-03 00:00:00', N'В', 0, 6)
